_name-en,yes,no,absent,abstain,present,count
Abraham SHEK,37,106,252,4,1,400
Dennis KWOK,108,40,243,9,0,400
Prof Joseph LEE,128,37,224,10,1,400
Kenneth LEUNG,125,39,224,12,0,400
HUI Chi-fung,118,39,224,12,7,400
MA Fung-kwok,72,90,221,17,0,400
CHUNG Kwok-pan,74,98,219,9,0,400
IP Kin-yuen,127,44,215,14,0,400
James TO,125,41,208,7,19,400
Michael TIEN,81,102,205,12,0,400
LEUNG Yiu-chung,137,63,192,8,0,400
WU Chi-wai,146,45,192,11,6,400
SHIU Ka-chun,160,43,189,8,0,400
Dr KWOK Ka-ki,155,37,188,14,6,400
KWONG Chun-yu,161,41,185,8,5,400
Charles Peter MOK,159,56,183,2,0,400
Dr Pierre CHAN,134,65,178,23,0,400
Paul TSE,77,147,171,4,1,400
Dr Fernando CHEUNG,172,53,166,9,0,400
CHU Hoi-dick,142,70,164,22,2,400
Claudia MO,163,67,162,8,0,400
LAM Cheuk-ting,177,42,162,13,6,400
Dr Helena WONG,174,43,155,13,15,400
Mrs Regina IP,85,155,153,7,0,400
Tanya CHAN,179,38,152,16,15,400
Andrew WAN,199,45,138,13,5,400
Tommy CHEUNG,78,178,137,7,0,400
Alvin YEUNG,188,52,137,16,7,400
Kenneth LAU,41,217,133,9,0,400
Jeremy TAM,184,52,128,10,26,400
Dr CHIANG Lai-wan,94,168,122,16,0,400
Dr Priscilla LEUNG,89,193,100,18,0,400
Jeffrey LAM,73,227,92,8,0,400
CHAN Han-pan,100,200,79,21,0,400
Dr Junius HO,88,218,79,15,0,400
Dr CHENG Chung-tai,240,55,78,27,0,400
Christopher CHEUNG,71,240,74,15,0,400
Jimmy NG,74,242,72,12,0,400
LUK Chung-hung,107,207,71,14,1,400
Martin LIAO,80,240,66,14,0,400
Steven HO,91,240,52,17,0,400
YIU Si-wing,92,238,49,21,0,400
LAU Kwok-fan,93,245,49,12,1,400
CHAN Chi-chuen,235,86,47,27,5,400
WONG Kwok-kin,103,234,44,18,1,400
Frankie YICK,92,253,42,13,0,400
LEUNG Che-cheung,104,234,42,20,0,400
Holden CHOW,117,219,42,22,0,400
Starry LEE,106,221,40,22,11,400
CHEUNG Kwok-kwan,98,245,36,21,0,400
CHAN Kin-por,93,257,34,16,0,400
KWOK Wai-keung,116,232,34,17,1,400
POON Siu-ping,124,233,32,11,0,400
CHAN Hak-kan,118,229,31,22,0,400
YUNG Hoi-yan,109,249,27,15,0,400
Dr Elizabeth QUAT,118,235,24,23,0,400
WONG Ting-kwong,109,246,22,22,1,400
HO Kai-ming,119,240,22,18,1,400
Wilson OR,106,251,22,21,0,400
Alice MAK,126,235,20,18,1,400
SHIU Ka-fai,99,266,19,16,0,400
CHAN Chun-ying,97,252,15,33,3,400
Andrew LEUNG,0,0,11,0,389,400
Ir Dr LO Wai-kwok,106,270,6,18,0,400
Dr YIU Chung-yim,62,49,189,7,0,307
Nathan LAW,146,34,107,20,0,307
LEUNG Kwok-hung,166,53,77,11,0,307
Dr LAU Siu-lai,191,33,62,19,2,307
AU Nok-hin,0,4,9,0,0,13
Sixtus LEUNG,0,0,1,0,0,1
YAU Wai-ching,0,0,1,0,0,1
Gary FAN Kwok-wai,0,0,0,0,0,0
Vincent CHENG Wing-shun,0,0,0,0,0,0
Tony TSE Wai-chuen,0,0,0,0,0,0
